,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
199,29/05/2020,29,5,2020,580,8,Afghanistan,AF,AFG,38041757.0,Asia
200,28/05/2020,28,5,2020,625,7,Afghanistan,AF,AFG,38041757.0,Asia
201,27/05/2020,27,5,2020,658,1,Afghanistan,AF,AFG,38041757.0,Asia
202,26/05/2020,26,5,2020,591,1,Afghanistan,AF,AFG,38041757.0,Asia
203,25/05/2020,25,5,2020,584,2,Afghanistan,AF,AFG,38041757.0,Asia
204,24/05/2020,24,5,2020,782,11,Afghanistan,AF,AFG,38041757.0,Asia
205,23/05/2020,23,5,2020,540,12,Afghanistan,AF,AFG,38041757.0,Asia
206,22/05/2020,22,5,2020,531,6,Afghanistan,AF,AFG,38041757.0,Asia
207,21/05/2020,21,5,2020,492,9,Afghanistan,AF,AFG,38041757.0,Asia
208,20/05/2020,20,5,2020,581,5,Afghanistan,AF,AFG,38041757.0,Asia
209,19/05/2020,19,5,2020,408,4,Afghanistan,AF,AFG,38041757.0,Asia
210,18/05/2020,18,5,2020,262,1,Afghanistan,AF,AFG,38041757.0,Asia
211,17/05/2020,17,5,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
212,16/05/2020,16,5,2020,1063,32,Afghanistan,AF,AFG,38041757.0,Asia
213,15/05/2020,15,5,2020,113,6,Afghanistan,AF,AFG,38041757.0,Asia
214,14/05/2020,14,5,2020,259,3,Afghanistan,AF,AFG,38041757.0,Asia
215,13/05/2020,13,5,2020,280,5,Afghanistan,AF,AFG,38041757.0,Asia
216,12/05/2020,12,5,2020,285,2,Afghanistan,AF,AFG,38041757.0,Asia
217,11/05/2020,11,5,2020,369,5,Afghanistan,AF,AFG,38041757.0,Asia
218,10/05/2020,10,5,2020,255,6,Afghanistan,AF,AFG,38041757.0,Asia
219,09/05/2020,9,5,2020,215,3,Afghanistan,AF,AFG,38041757.0,Asia
220,08/05/2020,8,5,2020,171,2,Afghanistan,AF,AFG,38041757.0,Asia
221,07/05/2020,7,5,2020,168,9,Afghanistan,AF,AFG,38041757.0,Asia
222,06/05/2020,6,5,2020,330,5,Afghanistan,AF,AFG,38041757.0,Asia
223,05/05/2020,5,5,2020,190,5,Afghanistan,AF,AFG,38041757.0,Asia
224,04/05/2020,4,5,2020,235,13,Afghanistan,AF,AFG,38041757.0,Asia
225,03/05/2020,3,5,2020,134,4,Afghanistan,AF,AFG,38041757.0,Asia
226,02/05/2020,2,5,2020,164,4,Afghanistan,AF,AFG,38041757.0,Asia
227,01/05/2020,1,5,2020,222,4,Afghanistan,AF,AFG,38041757.0,Asia
228,30/04/2020,30,4,2020,122,0,Afghanistan,AF,AFG,38041757.0,Asia
229,29/04/2020,29,4,2020,124,3,Afghanistan,AF,AFG,38041757.0,Asia
230,28/04/2020,28,4,2020,172,0,Afghanistan,AF,AFG,38041757.0,Asia
231,27/04/2020,27,4,2020,68,10,Afghanistan,AF,AFG,38041757.0,Asia
232,26/04/2020,26,4,2020,112,4,Afghanistan,AF,AFG,38041757.0,Asia
233,25/04/2020,25,4,2020,70,1,Afghanistan,AF,AFG,38041757.0,Asia
234,24/04/2020,24,4,2020,105,2,Afghanistan,AF,AFG,38041757.0,Asia
235,23/04/2020,23,4,2020,84,4,Afghanistan,AF,AFG,38041757.0,Asia
236,22/04/2020,22,4,2020,61,1,Afghanistan,AF,AFG,38041757.0,Asia
237,21/04/2020,21,4,2020,35,2,Afghanistan,AF,AFG,38041757.0,Asia
238,20/04/2020,20,4,2020,88,3,Afghanistan,AF,AFG,38041757.0,Asia
239,19/04/2020,19,4,2020,63,0,Afghanistan,AF,AFG,38041757.0,Asia
240,18/04/2020,18,4,2020,51,1,Afghanistan,AF,AFG,38041757.0,Asia
241,17/04/2020,17,4,2020,10,4,Afghanistan,AF,AFG,38041757.0,Asia
